strategy,freq,pred_model,cum_return,ann_return,ann_vol,sharpe,max_drawdown,tracking_error,information_ratio,mean_turnover,n_rebalances,n_days
EW,Y,none,0.16592894462713637,0.17831966070810923,0.1368559250985865,1.1993842576600773,-0.1113213448226541,0.0005019960159204458,-1.003992029840875,0.9999999999999999,1,250
MinVar,Q,none,0.14118215592422612,0.15237191609596867,0.13202299727712558,1.0745269560112172,-0.10938683340671895,0.047736384203949885,-0.4772999279833748,0.423551354116264,4,250
MaxSharpe_hist,Q,none,0.19151862314731516,0.20397715848661435,0.13430358241141818,1.382679144631774,-0.0954486514579217,0.07285253527833097,0.28896620053533373,0.5175231918755425,4,250
TopK_pred,Q,top_val,0.07139530214541812,0.0875969420853997,0.17016199162185416,0.49355683438750503,-0.17457926733544793,0.08447648490062315,-0.9548483025475863,0.8999999999999999,4,250
TopK_pred,Q,top_test,0.22955012319321755,0.2569621145960683,0.20264689265418084,1.1290654061911325,-0.1664320618572429,0.11884803731102854,0.5398049095981897,0.8999999999999999,4,250
TopK_pred,Q,ensemble,0.15560685279645448,0.17957518230543967,0.19742849021026415,0.836801665664853,-0.14862746178648012,0.10993503269204494,0.005108902164976678,0.95,4,250
Momentum_tilt_pred,Q,top_val,0.13459040819212054,0.14653036762103322,0.13763632915148374,0.9937595458361217,-0.11534675061915922,0.07381861527251338,-0.3775392708135407,0.6154617266178353,4,250
Momentum_tilt_pred,Q,top_test,0.14150786958289552,0.15280794348714832,0.13276328040308577,1.0713864894106022,-0.09717240650802184,0.0674267275967212,-0.33230230823094475,0.6850885582374744,4,250
Momentum_tilt_pred,Q,ensemble,0.11226749618939147,0.12570440218789525,0.14962998889128815,0.7915311566097265,-0.11617315333137712,0.07139406876586796,-0.6472532628926478,0.7392263138444322,4,250
BlackLitterman_pred,Q,top_val,0.1265018599855514,0.13942151253415425,0.1447891393809455,0.9016870723439186,-0.11243130067650808,0.06282578499605368,-0.5426489607260386,0.8059600730816577,4,250
BlackLitterman_pred,Q,top_test,0.2021308473093768,0.21789699768062687,0.15241494947267736,1.293854178593662,-0.11615993319431916,0.065925704699141,0.49382675957408323,0.7946918517378483,4,250
BlackLitterman_pred,Q,ensemble,0.1857668337326006,0.2055666200647719,0.17488565418968013,1.0693789845733759,-0.13824250727000853,0.08441885227217168,0.26501427774136166,0.8992541977150501,4,250
