model_name,input_window,output_window,best_epoch,n_params,mae_train,mae_val,mae_test
CNN,5,1,8,1095,0.011558262214795669,0.011249767909439006,0.012295790581681764
CNN,5,5,39,11287,0.004497385483490896,0.0050193723483585384,0.006038943939016345
CNN,5,30,51,11287,0.0017288601496848123,0.001927707933879227,0.0025631315394829294
CNN,5,90,71,11287,0.000942179250711232,0.0010876531536725012,0.0014128181089005506
CNN,10,1,66,1095,0.011469198457167776,0.011846302625982132,0.012443547358825637
CNN,10,5,149,11287,0.004187697656180061,0.004622997769279775,0.0065098190536428905
CNN,10,30,326,11287,0.0014405466731858387,0.0015540762848761471,0.0025997131500167794
CNN,10,90,390,11287,0.0007658396109563736,0.0008427388372717901,0.001462201442060536
CNN,30,1,18,1095,0.011545876154922865,0.011560912554988147,0.012304802150187855
CNN,30,5,336,11287,0.004124231904896856,0.004532105997880482,0.007735218419824026
CNN,30,30,566,11287,0.001191801163985896,0.0012431513976900333,0.002769138116775868
CNN,30,90,713,11287,0.0005591173398280056,0.0005871506311129772,0.001464884011402567
CNN,90,1,7,1095,0.011569712390571146,0.011254120815538546,0.012320270259743919
CNN,90,5,200,1095,0.005043957676267324,0.0050918484006639,0.0061908481184812575
CNN,90,30,586,11287,0.0014132913367103297,0.0014358702236139684,0.0028057319490268837
CNN,90,90,346,11287,0.0006555650465922794,0.0006722557890231799,0.0014882789644522516
