tecnica,fase,variante,input_window,output_window,n_in_channels,n_params,mae_train,mae_val,mae_test,mae_delta_pct_vs_baseline,epochs_entrenadas,learning_rate,batch_size,split_strategy,notas,model_path,timestamp,elapsed_sec
C2_purged_kfold,C,profMIX,30,30,23,,,0.0021551069105044,0.0023282375186681,,12,0.0005,64,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000161",,2026-05-20T22:40:21,0.0
C2_purged_kfold,C,profMIX,30,90,23,,,0.0012365357484668,0.0012685917550697,,11,0.0005,64,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000075",,2026-05-20T22:42:57,0.0
C2_purged_kfold,C,profMIX,90,30,23,,,0.0021508311387151,0.0023249349556863,,9,0.00025,32,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000151",,2026-05-20T22:51:56,0.0
C2_purged_kfold,C,profMIX,90,90,23,,,0.0012265423312783,0.0012823930941522,,12,0.00025,32,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000068",,2026-05-20T23:02:18,0.0
C2_purged_kfold,C,convLSTM_causal,30,30,23,,,0.0021705020684748,0.0023130785208195,,9,0.001,64,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000150",,2026-05-20T23:03:55,0.0
C2_purged_kfold,C,convLSTM_causal,30,90,23,,,0.001241701003164,0.0012681077001616,,9,0.001,64,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000077",,2026-05-20T23:05:24,0.0
C2_purged_kfold,C,convLSTM_causal,90,30,23,,,0.0021569945150986,0.0023315565660595,,9,0.0005,32,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000151",,2026-05-20T23:10:10,0.0
C2_purged_kfold,C,convLSTM_causal,90,90,23,,,0.0012327170930802,0.0012774371774867,,9,0.0005,32,purged_kfold,"5-fold purged. n_folds_efectivos=5, std_val=0.000071",,2026-05-20T23:15:00,0.0
C3_sample_weights,C,profMIX,30,30,23,68087.0,0.0009675734909251,0.0010792098473757,0.0024667391553521,,200,0.0005,64,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_profMIX_in30_out30.keras,2026-05-20T23:24:07,544.2
C3_sample_weights,C,profMIX,30,90,23,68087.0,0.0004511806473601,0.0004937188932672,0.0013519513886421,,163,0.0005,64,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_profMIX_in30_out90.keras,2026-05-20T23:31:45,454.2
C3_sample_weights,C,profMIX,90,30,23,120983.0,0.0007084161043167,0.0008296411251649,0.0026207871269434,,167,0.00025,32,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_profMIX_in90_out30.keras,2026-05-21T00:06:31,2079.3
C3_sample_weights,C,profMIX,90,90,23,120983.0,0.0003101575421169,0.0003501307510305,0.0013218214735388,,124,0.00025,32,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_profMIX_in90_out90.keras,2026-05-21T00:32:01,1523.4
C3_sample_weights,C,convLSTM_causal,30,30,23,56023.0,0.0006459982832893,0.0007872327696532,0.0028036183211952,,200,0.001,64,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_convLSTM_causal_in30_out30.keras,2026-05-21T00:38:26,383.2
C3_sample_weights,C,convLSTM_causal,30,90,23,56023.0,0.0002772331645246,0.0003246656269766,0.0014735924778506,,164,0.001,64,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_convLSTM_causal_in30_out90.keras,2026-05-21T00:43:47,317.7
C3_sample_weights,C,convLSTM_causal,90,30,23,56023.0,0.0006618850748054,0.0007707830518484,0.0027382024563848,,191,0.0005,32,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_convLSTM_causal_in90_out30.keras,2026-05-21T01:05:53,1322.5
C3_sample_weights,C,convLSTM_causal,90,90,23,56023.0,0.0002581246953923,0.0002949712506961,0.00145061139483,,219,0.0005,32,default,sample_weight por unicidad: ventanas menos solapadas pesan mas en el gradiente.,C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_C3_sample_weights_convLSTM_causal_in90_out90.keras,2026-05-21T01:31:58,1559.8
C4_triple_barrier,C,classifier_3clase,30,30,23,35845.0,,,,,50,0.001,64,default,"Triple barrier horizon=30 up=dn=1.0 vol. ACCURACY: train=0.860 val=0.841 test=0.832. Distribucion clases en train: {'down': np.float64(0.473), 'flat': np.float64(0.001), 'up': np.float64(0.526)}",,2026-05-21T01:33:12,0.0
C4_triple_barrier,C,classifier_3clase,90,90,23,49349.0,,,,,50,0.001,64,default,"Triple barrier horizon=90 up=dn=1.0 vol. ACCURACY: train=0.766 val=0.665 test=0.496. Distribucion clases en train: {'down': np.float64(0.474), 'flat': np.float64(0.0), 'up': np.float64(0.526)}",,2026-05-21T01:36:32,0.0
A4_dbscan_filter,A,profMIX,30,30,23,68087.0,0.0009457352571189,0.0011566838948056,0.0024502682499587,,200,0.0005,64,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_profMIX_in30_out30.keras,2026-05-21T02:08:16,685.1
A4_dbscan_filter,A,profMIX,30,90,23,68087.0,0.0004612459451891,0.0005596487317234,0.0013452935963869,,178,0.0005,64,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_profMIX_in30_out90.keras,2026-05-21T02:18:58,634.8
A4_dbscan_filter,A,profMIX,90,30,23,120983.0,0.000647404056508,0.0008989237830974,0.0024759059306234,,170,0.00025,32,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_profMIX_in90_out30.keras,2026-05-21T03:10:49,3099.2
A4_dbscan_filter,A,profMIX,90,90,23,120983.0,0.0003001422737725,0.0003913663094863,0.0013376290444284,,126,0.00025,32,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_profMIX_in90_out90.keras,2026-05-21T03:50:05,2343.6
A4_dbscan_filter,A,convLSTM_causal,30,30,23,56023.0,0.0006107668159529,0.0008823524112813,0.0027590505778789,,200,0.001,64,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_convLSTM_causal_in30_out30.keras,2026-05-21T03:59:49,578.0
A4_dbscan_filter,A,convLSTM_causal,30,90,23,56023.0,0.0002654254785738,0.0003763737040571,0.0014532454079017,,180,0.001,64,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_convLSTM_causal_in30_out90.keras,2026-05-21T04:08:29,513.5
A4_dbscan_filter,A,convLSTM_causal,90,30,23,56023.0,0.0006180314812809,0.0008509110193699,0.0028094998560845,,250,0.0005,32,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_convLSTM_causal_in90_out30.keras,2026-05-21T05:03:06,3267.8
A4_dbscan_filter,A,convLSTM_causal,90,90,23,56023.0,0.0002496605447959155,0.0003346160228829831,0.001485638553276658,,177,0.0005,32,default,"DBSCAN sobre features aplanadas (PCA 20D), eps=p90 k-dist. Val/test intactos.",C:/Users/jdmar/Desktop/ML/miax-b3t4-main/miax-b3t4-main/models/inv_A4_dbscan_filter_convLSTM_causal_in90_out90.keras,2026-05-21T05:42:40,2363.4
