variante,lr,batch_size,mae_val_kfold_mean,mae_val_kfold_std,fold_scores
profMIX,0.0003,32,0.0004407465554929028,6.906022876301892e-05,"[0.0005332844448275864, 0.0004215243679936975, 0.00036743085365742445]"
profMIX,0.0003,64,0.00048145684801662963,8.874421240628583e-05,"[0.0006031873053871095, 0.0004470410931389779, 0.00039414214552380145]"
profMIX,0.0005,32,0.0004049960504441212,5.288247406789946e-05,"[0.0004776268033310771, 0.00038412134745158255, 0.00035324000054970384]"
profMIX,0.0005,64,0.00042425729528379935,7.076724459886419e-05,"[0.0005217658472247422, 0.00039502393337897956, 0.00035598210524767637]"
profMIX,0.001,32,0.00040239933878183365,5.2322047717435185e-05,"[0.00047351937973871827, 0.0003845268802251667, 0.000349151756381616]"
profMIX,0.001,64,0.0004000387367947648,5.4908387001329444e-05,"[0.000474881730042398, 0.0003805418382398784, 0.000344692642102018]"
convLSTM_causal,0.0003,32,0.0004858198420455058,8.147989917728548e-05,"[0.0005931829218752682, 0.0004683783045038581, 0.0003958982997573912]"
convLSTM_causal,0.0003,64,0.0005342097817144046,8.490866111518821e-05,"[0.000647146487608552, 0.0005130712524987757, 0.00044241160503588617]"
convLSTM_causal,0.0005,32,0.0004352778196334839,6.952253211038703e-05,"[0.0005293319700285792, 0.0004130587331019342, 0.00036344275576993823]"
convLSTM_causal,0.0005,64,0.0004604090257392575,7.327349657871078e-05,"[0.0005584026803262532, 0.00044059165520593524, 0.0003822327416855842]"
convLSTM_causal,0.001,32,0.00039515244619299966,6.491634240759199e-05,"[0.0004810578830074519, 0.0003802423598244786, 0.0003241570957470685]"
convLSTM_causal,0.001,64,0.0004158620916617413,6.122106109463531e-05,"[0.0004983731778338552, 0.0003973214770667255, 0.00035189162008464336]"
multibranch,0.0003,32,0.0005176924363089105,7.84014883742724e-05,"[0.0006271170568652451, 0.0004784681659657508, 0.00044749208609573543]"
multibranch,0.0003,64,0.0005652041775950541,8.332071988688209e-05,"[0.0006787191960029304, 0.0005358194466680288, 0.0004810738901142031]"
multibranch,0.0005,32,0.000492059412257125,6.35653079928738e-05,"[0.0005741555360145867, 0.000482728733913973, 0.0004192939668428153]"
multibranch,0.0005,64,0.0005169968547609945,5.873569871928667e-05,"[0.0005957718240097165, 0.000500428257510066, 0.000454790482763201]"
multibranch,0.001,32,0.0005246968163798252,3.694765587130483e-05,"[0.0005691422265954316, 0.0005262679769657552, 0.00047868024557828903]"
multibranch,0.001,64,0.0005183421114149193,4.892803243775954e-05,"[0.0005734696751460433, 0.0005269949324429035, 0.00045456172665581107]"
biGRU_attention,0.0003,32,0.00045996458114435274,5.970894556627099e-05,"[0.0005417022621259093, 0.00043745196308009326, 0.00040073951822705567]"
biGRU_attention,0.0003,64,0.0005182149664809307,6.23657489416421e-05,"[0.0006000620778650045, 0.0005057522212155163, 0.00044883060036227107]"
biGRU_attention,0.0005,32,0.0004077735648024827,4.75667010500418e-05,"[0.0004698755219578743, 0.0003991144767496735, 0.0003543306956999004]"
biGRU_attention,0.0005,64,0.00044529367005452514,5.613319462470641e-05,"[0.0005212702671997249, 0.00042723200749605894, 0.00038737873546779156]"
biGRU_attention,0.001,32,0.00035657742409966886,3.077273522856247e-05,"[0.00039795730845071375, 0.00034755884553305805, 0.0003242161183152348]"
biGRU_attention,0.001,64,0.000387222496404623,4.818662283492628e-05,"[0.000452101172413677, 0.0003728384617716074, 0.0003367278550285846]"
adaptativo,0.0003,32,0.0005455838205913702,8.351528111835828e-05,"[0.0006494555855169892, 0.0005423325928859413, 0.0004449632833711803]"
adaptativo,0.0003,64,0.000581250157362471,7.943816472786823e-05,"[0.0006884135655127466, 0.0005568683845922351, 0.0004984685219824314]"
adaptativo,0.0005,32,0.0004894472270583113,7.352139802583209e-05,"[0.0005871405592188239, 0.00047142431139945984, 0.00040977681055665016]"
adaptativo,0.0005,64,0.0005190747518402835,6.474841595164917e-05,"[0.000605489534791559, 0.0005020952085033059, 0.0004496395122259855]"
adaptativo,0.001,32,0.0004624526482075453,7.20694312780757e-05,"[0.0005580520373769104, 0.0004452564171515405, 0.0003840494900941849]"
adaptativo,0.001,64,0.0004775751828371237,8.196774118114205e-05,"[0.0005879923119209707, 0.0004529298166744411, 0.00039180341991595924]"
