input_window,output_window,variante,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,lstm_c,7927,0.011527626183999662,0.011464214146053172,0.012306697791320806,21
5,5,lstm_c,7927,0.004690234553628667,0.005064933769667218,0.005871165160551338,109
5,30,lstm_c,7927,0.0017890701002332122,0.001931767256936121,0.0024268619141661193,182
5,90,lstm_c,7927,0.0009900837572343049,0.0011011669125068858,0.0013597119505505105,267
10,1,lstm_c,7927,0.01149891423342214,0.011672223554932392,0.012311748600472567,21
10,5,lstm_c,7927,0.004432028162507536,0.004676183426294055,0.005954026683707283,205
10,30,lstm_c,7927,0.0016426279686532384,0.0016951497626606405,0.0025090913688708824,268
10,90,lstm_c,7927,0.000903350316394534,0.0009534518756616392,0.001381916696218644,275
30,1,lstm_c,2951,0.011510056691826958,0.011561504387473066,0.012324613978380231,25
30,5,lstm_c,2951,0.004717080893713909,0.0048075789492486075,0.005944566011604465,189
30,30,lstm_c,2951,0.0016923954599801247,0.0016906905364819035,0.0024283786945912753,300
30,90,lstm_c,2951,0.0009050239841103601,0.0009177284168153986,0.0013548085798661908,259
90,1,lstm_c,1231,0.011528998991352069,0.011538810998769373,0.01231514747111803,30
90,5,lstm_c,1231,0.004997041942678868,0.00520003724790927,0.00578635951178855,193
90,30,lstm_c,1231,0.001807196106949687,0.0018013940657811642,0.0024828884541515553,201
90,90,lstm_c,1231,0.0009651024280951133,0.0009730854909983085,0.0013807051274438026,300
