input_window,output_window,n_params,mae_train,mae_val,mae_test,epochs_entrenadas
5,1,2951,0.011536575781505545,0.011449896432970688,0.01230673879526382,15
5,5,2951,0.005038354306669165,0.005182721429053337,0.005662426414047591,160
5,30,2951,0.002003650165257294,0.0020389924573884534,0.002353029183556148,152
5,90,2951,0.001127299113760806,0.0011967415476340192,0.001304332406161346,169
10,1,2951,0.01150659452864213,0.011660777063893159,0.012303850595835204,17
10,5,2951,0.004948306987994672,0.005050761661336974,0.00575979660689424,141
10,30,2951,0.001896371789858614,0.0019195412883942402,0.002404257873892005,204
10,90,2951,0.0010569096213292105,0.0010813540218726984,0.0013327764179751202,266
30,1,1231,0.011529239068736756,0.01155402684567603,0.012301830903007464,20
30,5,1231,0.005179079138709397,0.005161127714848779,0.005650743785584944,217
30,30,1231,0.0019528024892650792,0.0019480009265385552,0.0023390855471298842,162
30,90,1231,0.001090185116402569,0.0010942326076628513,0.001306028125704331,164
90,1,563,0.011550507017363487,0.01152941060577626,0.01231689846882679,26
90,5,563,0.0052463630180839375,0.0054061748745643234,0.005609798245895239,165
90,30,563,0.0020378793704788965,0.002040697212716723,0.0023375069390290885,204
90,90,563,0.001090801638319074,0.001099711625293332,0.0012687341591083254,243
